1;time;69 683;1
2;year;58 762;0
3;people;58 218;0
4;way;41 922;0
5;day;36 752;0
6;thing;32 595;0
7;information;30 241;0
8;work;27 374;0
9;business;27 156;0
10;service;26 074;0
11;life;25 561;0
12;company;25 409;0
13;site;25 073;0
14;world;23 559;0
15;part;23 460;0
16;system;22 601;0
17;student;22 039;0
18;child;21 266;0
19;program;20 601;0
20;number;19 631;0
21;place;18 430;0
22;lot;18 222;0
23;week;18 207;0
24;something;18 056;0
25;family;17 806;0
26;page;17 800;0
27;home;17 589;0
28;book;17 354;0
29;case;17 187;0
30;group;17 178;0
31;problem;17 171;0
32;product;17 131;0
33;school;17 117;0
34;community;17 028;0
35;area;16 872;0
36;member;16 809;0
37;website;16 615;0
38;experience;16 540;0
39;issue;16 379;0
40;project;16 358;0
41;state;16 107;0
42;user;15 694;0
43;month;15 578;0
44;question;15 570;0
45;woman;15 318;0
46;point;15 290;0
47;game;15 195;0
48;course;15 146;0
49;country;15 061;0
50;government;15 039;0
51;idea;14 949;0
52;event;14 931;0
53;process;14 872;0
54;name;14 660;0
55;use;14 547;0
56;result;14 518;0
57;man;14 365;0
58;example;14 294;0
59;money;14 152;0
60;datum;14 055;0
61;change;14 051;0
62;today;14 032;0
63;research;13 897;0
64;job;13 860;0
65;New;13 831;0
66;customer;13 697;0
67;post;13 661;0
68;team;13 640;0
69;right;13 344;0
70;level;13 199;0
71;friend;12 695;0
72;blog;12 554;0
73;order;12 543;0
74;person;12 525;0
75;fact;12 476;0
76;term;12 237;0
77;health;12 091;0
78;content;11 762;0
79;law;11 755;0
80;type;11 649;0
81;market;11 618;0
82;other;11 571;0
83;end;11 497;0
84;Google;11 428;0
85;word;11 411;0
86;policy;11 370;0
87;development;11 360;0
88;value;11 279;0
89;university;11 266;0
90;food;11 252;0
91;medium;11 238;0
92;article;11 159;0
93;power;11 138;0
94;hour;11 041;0
95;support;10 855;0
96;line;10 835;0
97;technology;10 823;0
98;need;10 721;0
99;list;10 697;0
100;search;10 686;0
101;opportunity;10 651;0
